,year,category,date_awarded,prize_amount,prize_amount_adjusted,top_motivation,laureate_id,motivation,portion
0,1901,Chemistry,1901-11-12,150782,10833458,,160,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1
1,1901,Literature,1901-11-14,150782,10833458,,569,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1
2,1901,Peace,1901-12-10,150782,10833458,,462,for his humanitarian efforts to help wounded soldiers and create international understanding,1/2
3,1901,Peace,1901-12-10,150782,10833458,,463,"for his lifelong work for international peace conferences, diplomacy and arbitration",1/2
4,1901,Physics,1901-11-12,150782,10833458,,1,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1
5,1901,Physiology or Medicine,1901-10-30,150782,10833458,,293,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1
6,1902,Chemistry,1902-11-11,141847,10191492,,161,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1
7,1902,Literature,1902-11-13,141847,10191492,,571,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1
8,1902,Peace,1902-12-10,141847,10191492,,464,for his untiring and skilful directorship of the Bern Peace Bureau,1/2
9,1902,Peace,1902-12-10,141847,10191492,,465,for his eminently practical administration of the Inter-Parliamentary Union,1/2
10,1902,Physics,1902-11-11,141847,10191492,,2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2
11,1902,Physics,1902-11-11,141847,10191492,,3,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2
12,1902,Physiology or Medicine,1902-10-30,141847,10191492,,294,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1
13,1903,Chemistry,1903-11-12,141358,9857642,,162,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1
14,1903,Literature,1903-11-19,141358,9857642,,572,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1
15,1903,Peace,1903-12-10,141358,9857642,,466,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1
16,1903,Physics,1903-11-12,141358,9857642,,4,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2
17,1903,Physics,1903-11-12,141358,9857642,,5,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4
18,1903,Physics,1903-11-12,141358,9857642,,6,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4
19,1903,Physiology or Medicine,1903-10-15,141358,9857642,,295,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1
20,1904,Chemistry,1904-11-08,140859,9822844,,163,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1
21,1904,Literature,1904-11-17,140859,9822844,,573,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",1/2
22,1904,Literature,1904-11-17,140859,9822844,,574,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",1/2
23,1904,Peace,1904-12-10,140859,9822844,,467,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,1
24,1904,Physics,1904-11-08,140859,9822844,,8,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1
25,1904,Physiology or Medicine,1904-10-20,140859,9822844,,296,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1
26,1905,Chemistry,1905-11-09,138089,9629677,,164,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1
27,1905,Literature,1905-11-09,138089,9629677,,575,because of his outstanding merits as an epic writer,1
28,1905,Peace,1905-12-10,138089,9629677,,468,for her audacity to oppose the horrors of war,1
29,1905,Physics,1905-11-09,138089,9629677,,9,for his work on cathode rays,1
30,1905,Physiology or Medicine,1905-10-12,138089,9629677,,297,for his investigations and discoveries in relation to tuberculosis,1
31,1906,Chemistry,1906-11-12,138536,9384824,,165,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1
32,1906,Literature,1906-11-08,138536,9384824,,576,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1
33,1906,Peace,1906-12-10,138536,9384824,,470,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",1
34,1906,Physics,1906-11-12,138536,9384824,,10,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1
35,1906,Physiology or Medicine,1906-10-25,138536,9384824,,298,in recognition of their work on the structure of the nervous system,1/2
